2026-02-12 12:23:17.617 | DEBUG    | __main__:<module>:26 - 系统默认编码: utf-8, 已经重新加载为UTF-8
2026-02-12 12:23:18.480 | DEBUG    | src.utils.env_utils:get_writeable_env:21 - 获取到的可写入的环境变量路径: [WindowsPath('C:/Users/Huojiayi/AppData/Roaming/npm')]
2026-02-12 12:23:18.502 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandChoiceBase插件
2026-02-12 12:23:18.524 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandIntBase插件
2026-02-12 12:23:18.543 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了17个CommandFlagBase插件
2026-02-12 12:23:18.549 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了3个CommandPathBase插件
2026-02-12 12:23:18.576 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了6个CommandTextBase插件
2026-02-12 12:23:18.583 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了5个CommandMultipleTimesBase插件
2026-02-12 12:23:28.417 | DEBUG    | src.common.manager.pip_manager:get_fastest_url:60 - 正在获取最快的链接: ['https://pypi.org/simple/', 'https://pypi.tuna.tsinghua.edu.cn/simple', 'https://mirrors.aliyun.com/pypi/simple/', 'https://pypi.mirrors.ustc.edu.cn/simple/', 'https://pypi.douban.com/simple/']
2026-02-12 12:23:28.587 | DEBUG    | src.common.manager.pip_manager:get_fastest_url:88 - 最快的链接: https://mirrors.aliyun.com/pypi/simple/
2026-02-12 12:23:32.193 | DEBUG    | src.utils.python_env_utils:find_available_python_exe_python:34 - 寻找到可用的 Python: E:\Python\python.exe
2026-02-12 12:23:32.194 | DEBUG    | src.utils.python_env_utils:find_available_python_exe_python:35 - 一共有 1 个可用的 Python
2026-02-12 12:23:36.239 | DEBUG    | src.common.manager.pip_manager:install_package:109 - 安装包: nuitka, 命令: ['E:\\Python\\python.exe', 'pip', 'install', 'nuitka', '-U', '-i', 'https://mirrors.aliyun.com/pypi/simple/']
2026-02-12 12:23:36.431 | DEBUG    | src.common.manager.pip_manager:install_package:109 - 安装包: nuitka, 命令: ['pip', 'install', 'nuitka', '-U', '-i', 'https://mirrors.aliyun.com/pypi/simple/']
2026-02-12 12:24:19.137 | DEBUG    | src.common.manager.pip_manager:install_package:114 - 安装包: nuitka, 结果: CompletedProcess(args=['pip', 'install', 'nuitka', '-U', '-i', 'https://mirrors.aliyun.com/pypi/simple/'], returncode=0)
2026-02-12 12:24:28.206 | DEBUG    | src.utils.env_utils:add_path_to_user_env_by_os:30 - 向用户环境变量中添加了路径: C:\Users\Huojiayi\Desktop\NuitkaGUI-main\dependence\downloads\depends\x86_64\ccache.exe
2026-02-12 12:24:28.237 | DEBUG    | src.utils.env_utils:add_path_to_user_env_by_os:30 - 向用户环境变量中添加了路径: C:\Users\Huojiayi\Desktop\NuitkaGUI-main\dependence\downloads\depends\x86_64\depends.dll
2026-02-12 12:24:28.269 | DEBUG    | src.utils.env_utils:add_path_to_user_env_by_os:30 - 向用户环境变量中添加了路径: C:\Users\Huojiayi\Desktop\NuitkaGUI-main\dependence\downloads\depends\x86_64\depends.exe
2026-02-12 12:24:28.302 | DEBUG    | src.utils.env_utils:add_path_to_user_env_by_os:30 - 向用户环境变量中添加了路径: C:\Users\Huojiayi\Desktop\NuitkaGUI-main\dependence\downloads\depends\x86_64\upx.exe
2026-02-12 12:24:28.333 | DEBUG    | src.utils.env_utils:add_path_to_user_env_by_os:30 - 向用户环境变量中添加了路径: C:\Users\Huojiayi\Desktop\NuitkaGUI-main\dependence\downloads\gcc\x86_64\13.2.0-16.0.6-11.0.1-msvcrt-r1\mingw64\bin\gcc.exe
2026-02-12 12:24:28.367 | DEBUG    | src.utils.env_utils:add_path_to_user_env_by_os:30 - 向用户环境变量中添加了路径: C:\Users\Huojiayi\Desktop\NuitkaGUI-main\dependence\downloads\gcc\x86_64\13.2.0-16.0.6-11.0.1-msvcrt-r1\mingw64\bin\clang.exe
2026-02-12 12:24:30.909 | DEBUG    | src.presenter.welcome_presenter:_finished:178 - 配置完成,重启软件
2026-02-12 12:24:36.189 | DEBUG    | __main__:<module>:26 - 系统默认编码: utf-8, 已经重新加载为UTF-8
2026-02-12 12:24:36.983 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandChoiceBase插件
2026-02-12 12:24:36.994 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandIntBase插件
2026-02-12 12:24:37.011 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了17个CommandFlagBase插件
2026-02-12 12:24:37.016 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了3个CommandPathBase插件
2026-02-12 12:24:37.043 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了6个CommandTextBase插件
2026-02-12 12:24:37.048 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了5个CommandMultipleTimesBase插件
2026-02-12 12:24:37.107 | DEBUG    | src.common.nuitka_command.manager.manager_plugin:fetch_plugin_from_cmd:112 - 获取到29个插件
2026-02-12 12:28:49.806 | DEBUG    | __main__:<module>:26 - 系统默认编码: utf-8, 已经重新加载为UTF-8
2026-02-12 12:28:50.770 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandChoiceBase插件
2026-02-12 12:28:50.781 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandIntBase插件
2026-02-12 12:28:50.797 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了17个CommandFlagBase插件
2026-02-12 12:28:50.802 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了3个CommandPathBase插件
2026-02-12 12:28:50.830 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了6个CommandTextBase插件
2026-02-12 12:28:50.835 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了5个CommandMultipleTimesBase插件
2026-02-12 12:28:50.876 | DEBUG    | src.common.nuitka_command.manager.manager_plugin:fetch_plugin_from_cmd:112 - 获取到29个插件
2026-02-12 12:35:47.835 | DEBUG    | __main__:<module>:26 - 系统默认编码: utf-8, 已经重新加载为UTF-8
2026-02-12 12:35:48.790 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandChoiceBase插件
2026-02-12 12:35:48.801 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandIntBase插件
2026-02-12 12:35:48.817 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了17个CommandFlagBase插件
2026-02-12 12:35:48.824 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了3个CommandPathBase插件
2026-02-12 12:35:48.850 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了6个CommandTextBase插件
2026-02-12 12:35:48.856 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了5个CommandMultipleTimesBase插件
2026-02-12 12:35:48.899 | DEBUG    | src.common.nuitka_command.manager.manager_plugin:fetch_plugin_from_cmd:112 - 获取到29个插件
2026-02-12 12:36:47.036 | DEBUG    | __main__:<module>:26 - 系统默认编码: utf-8, 已经重新加载为UTF-8
2026-02-12 12:36:47.781 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandChoiceBase插件
2026-02-12 12:36:47.795 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandIntBase插件
2026-02-12 12:36:47.813 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了17个CommandFlagBase插件
2026-02-12 12:36:47.819 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了3个CommandPathBase插件
2026-02-12 12:36:47.846 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了6个CommandTextBase插件
2026-02-12 12:36:47.852 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了5个CommandMultipleTimesBase插件
2026-02-12 12:36:47.897 | DEBUG    | src.common.nuitka_command.manager.manager_plugin:fetch_plugin_from_cmd:112 - 获取到29个插件
2026-02-12 12:40:05.499 | DEBUG    | __main__:<module>:26 - 系统默认编码: utf-8, 已经重新加载为UTF-8
2026-02-12 12:40:06.476 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandChoiceBase插件
2026-02-12 12:40:06.486 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了1个CommandIntBase插件
2026-02-12 12:40:06.504 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了17个CommandFlagBase插件
2026-02-12 12:40:06.509 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了3个CommandPathBase插件
2026-02-12 12:40:06.535 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了6个CommandTextBase插件
2026-02-12 12:40:06.542 | INFO     | src.utils.plugin_register:load_plugins:36 - 加载了5个CommandMultipleTimesBase插件
